iter	Passed	Remaining
855	18726	3150
856	18746	3128
857	18766	3105
858	18786	3083
859	18806	3061
860	18826	3039
861	18845	3017
862	18865	2994
863	18885	2972
864	18905	2950
865	18925	2928
866	18945	2906
867	18965	2884
868	18986	2862
869	19007	2840
870	19027	2818
871	19047	2795
872	19069	2774
873	19089	2752
874	19109	2729
875	19129	2707
876	19148	2685
877	19168	2663
878	19187	2641
879	19207	2619
880	19226	2597
881	19246	2574
882	19265	2552
883	19284	2530
884	19304	2508
885	19323	2486
886	19343	2464
887	19363	2442
888	19383	2420
889	19402	2398
890	19422	2376
891	19441	2353
892	19461	2331
893	19480	2309
894	19500	2287
895	19520	2265
896	19540	2243
897	19560	2221
898	19580	2199
899	19600	2177
900	19620	2155
901	19639	2133
902	19659	2111
903	19679	2089
904	19698	2067
905	19718	2045
906	19737	2023
907	19757	2001
908	19777	1979
909	19796	1957
910	19816	1935
911	19835	1913
912	19854	1891
913	19874	1870
914	19894	1848
915	19914	1826
916	19934	1804
917	19953	1782
918	19973	1760
919	19993	1738
920	20012	1716
921	20032	1694
922	20052	1672
923	20073	1651
924	20093	1629
925	20112	1607
926	20132	1585
927	20152	1563
928	20172	1541
929	20192	1519
930	20212	1498
931	20231	1476
932	20251	1454
933	20271	1432
934	20290	1410
935	20310	1388
936	20329	1366
937	20349	1345
938	20368	1323
939	20388	1301
940	20408	1279
941	20428	1257
942	20447	1235
943	20467	1214
944	20487	1192
945	20507	1170
946	20527	1148
947	20546	1127
948	20566	1105
949	20587	1083
950	20606	1061
951	20627	1040
952	20648	1018
953	20669	996
954	20689	974
955	20709	953
956	20729	931
957	20750	909
958	20770	887
959	20790	866
960	20810	844
961	20830	822
962	20850	801
963	20870	779
964	20890	757
965	20911	736
966	20931	714
967	20951	692
968	20971	670
969	20991	649
970	21011	627
971	21032	605
972	21052	584
973	21072	562
974	21093	540
975	21116	519
976	21137	497
977	21157	475
978	21177	454
979	21197	432
980	21218	410
981	21239	389
982	21259	367
983	21280	346
984	21300	324
985	21320	302
986	21340	281
987	21360	259
988	21381	237
989	21401	216
990	21422	194
991	21442	172
992	21462	151
993	21483	129
994	21503	108
995	21522	86
996	21542	64
997	21562	43
998	21582	21
999	21601	0
